antecedents,consequents,support,confidence,lift
"Laptop, Microsoft Office, Monitor, Speakers",Mouse,0.1,1.0,2.0
"Microsoft Office, Monitor, Mouse","Laptop, Speakers",0.1,1.0,5.0
"Monitor, Mouse, Speakers","Laptop, Microsoft Office",0.1,1.0,5.0
"Laptop, Monitor, Mouse","Microsoft Office, Speakers",0.1,1.0,2.5
"Microsoft Office, Mouse, Speakers","Laptop, Monitor",0.1,0.5,5.0
"Laptop, Microsoft Office, Mouse","Monitor, Speakers",0.1,0.5,1.25
"Laptop, Mouse, Speakers","Microsoft Office, Monitor",0.1,0.5,1.6666666666666667
"Laptop, Microsoft Office, Monitor","Mouse, Speakers",0.1,1.0,5.0
"Laptop, Monitor, Speakers","Microsoft Office, Mouse",0.1,1.0,5.0
"Laptop, Microsoft Office, Speakers","Monitor, Mouse",0.1,0.5,2.5
"Monitor, Mouse","Laptop, Microsoft Office, Speakers",0.1,0.5,2.5
"Microsoft Office, Mouse","Laptop, Monitor, Speakers",0.1,0.5,5.0
"Mouse, Speakers","Laptop, Microsoft Office, Monitor",0.1,0.5,5.0
"Laptop, Monitor","Microsoft Office, Mouse, Speakers",0.1,1.0,5.0
"Laptop, Microsoft Office","Monitor, Mouse, Speakers",0.1,0.5,5.0
"Laptop, Speakers","Microsoft Office, Monitor, Mouse",0.1,0.5,5.0
Laptop,Desktop,0.4,0.8,1.6
Desktop,Laptop,0.4,0.8,1.6
Printer,Desktop,0.4,0.8,1.6
Desktop,Printer,0.4,0.8,1.6
Flash Drive,Desktop,0.3,0.6,1.2
Desktop,Flash Drive,0.3,0.6,1.2
Microsoft Office,Desktop,0.2,0.4,0.8
Desktop,Microsoft Office,0.2,0.4,0.8
Mouse,Desktop,0.3,0.6,1.2
Desktop,Mouse,0.3,0.6,1.2
Keyboard,Desktop,0.2,0.4,0.8
Desktop,Keyboard,0.2,0.4,0.8
"Laptop, Printer",Desktop,0.3,1.0,2.0
"Desktop, Laptop",Printer,0.3,0.7499999999999999,1.4999999999999998
"Desktop, Printer",Laptop,0.3,0.7499999999999999,1.4999999999999998
Laptop,"Desktop, Printer",0.3,0.6,1.4999999999999998
Printer,"Desktop, Laptop",0.3,0.6,1.4999999999999998
Desktop,"Laptop, Printer",0.3,0.6,2.0
"Flash Drive, Printer",Desktop,0.3,0.7499999999999999,1.4999999999999998
"Desktop, Flash Drive",Printer,0.3,1.0,2.0
"Desktop, Printer",Flash Drive,0.3,0.7499999999999999,1.4999999999999998
Flash Drive,"Desktop, Printer",0.3,0.6,1.4999999999999998
Printer,"Desktop, Flash Drive",0.3,0.6,2.0
Desktop,"Flash Drive, Printer",0.3,0.6,1.4999999999999998
"Flash Drive, Mouse",Desktop,0.2,1.0,2.0
"Desktop, Flash Drive",Mouse,0.2,0.6666666666666667,1.3333333333333335
"Desktop, Mouse",Flash Drive,0.2,0.6666666666666667,1.3333333333333335
Flash Drive,"Desktop, Mouse",0.2,0.4,1.3333333333333335
Mouse,"Desktop, Flash Drive",0.2,0.4,1.3333333333333335
Desktop,"Flash Drive, Mouse",0.2,0.4,2.0
"Flash Drive, Laptop",Desktop,0.2,1.0,2.0
"Desktop, Flash Drive",Laptop,0.2,0.6666666666666667,1.3333333333333335
"Desktop, Laptop",Flash Drive,0.2,0.5,1.0
Flash Drive,"Desktop, Laptop",0.2,0.4,1.0
Laptop,"Desktop, Flash Drive",0.2,0.4,1.3333333333333335
Desktop,"Flash Drive, Laptop",0.2,0.4,2.0
"Flash Drive, Mouse, Printer",Desktop,0.2,1.0,2.0
"Desktop, Flash Drive, Mouse",Printer,0.2,1.0,2.0
"Desktop, Flash Drive, Printer",Mouse,0.2,0.6666666666666667,1.3333333333333335
"Desktop, Mouse, Printer",Flash Drive,0.2,1.0,2.0
"Flash Drive, Mouse","Desktop, Printer",0.2,1.0,2.5
"Flash Drive, Printer","Desktop, Mouse",0.2,0.5,1.6666666666666667
"Desktop, Flash Drive","Mouse, Printer",0.2,0.6666666666666667,3.3333333333333335
"Mouse, Printer","Desktop, Flash Drive",0.2,1.0,3.3333333333333335
"Desktop, Mouse","Flash Drive, Printer",0.2,0.6666666666666667,1.6666666666666667
"Desktop, Printer","Flash Drive, Mouse",0.2,0.5,2.5
Flash Drive,"Desktop, Mouse, Printer",0.2,0.4,2.0
Mouse,"Desktop, Flash Drive, Printer",0.2,0.4,1.3333333333333335
Printer,"Desktop, Flash Drive, Mouse",0.2,0.4,2.0
Desktop,"Flash Drive, Mouse, Printer",0.2,0.4,2.0
"Flash Drive, Laptop, Printer",Desktop,0.2,1.0,2.0
"Desktop, Flash Drive, Laptop",Printer,0.2,1.0,2.0
"Desktop, Flash Drive, Printer",Laptop,0.2,0.6666666666666667,1.3333333333333335
"Desktop, Laptop, Printer",Flash Drive,0.2,0.6666666666666667,1.3333333333333335
"Flash Drive, Laptop","Desktop, Printer",0.2,1.0,2.5
"Flash Drive, Printer","Desktop, Laptop",0.2,0.5,1.25
"Desktop, Flash Drive","Laptop, Printer",0.2,0.6666666666666667,2.2222222222222228
"Laptop, Printer","Desktop, Flash Drive",0.2,0.6666666666666667,2.2222222222222228
"Desktop, Laptop","Flash Drive, Printer",0.2,0.5,1.25
"Desktop, Printer","Flash Drive, Laptop",0.2,0.5,2.5
Flash Drive,"Desktop, Laptop, Printer",0.2,0.4,1.3333333333333335
Laptop,"Desktop, Flash Drive, Printer",0.2,0.4,1.3333333333333335
Printer,"Desktop, Flash Drive, Laptop",0.2,0.4,2.0
Desktop,"Flash Drive, Laptop, Printer",0.2,0.4,2.0
"Flash Drive, Laptop, Mouse",Desktop,0.2,1.0,2.0
"Desktop, Flash Drive, Mouse",Laptop,0.2,1.0,2.0
"Desktop, Flash Drive, Laptop",Mouse,0.2,1.0,2.0
"Desktop, Laptop, Mouse",Flash Drive,0.2,0.6666666666666667,1.3333333333333335
"Flash Drive, Mouse","Desktop, Laptop",0.2,1.0,2.5
"Flash Drive, Laptop","Desktop, Mouse",0.2,1.0,3.3333333333333335
"Desktop, Flash Drive","Laptop, Mouse",0.2,0.6666666666666667,1.6666666666666667
"Laptop, Mouse","Desktop, Flash Drive",0.2,0.5,1.6666666666666667
"Desktop, Mouse","Flash Drive, Laptop",0.2,0.6666666666666667,3.3333333333333335
"Desktop, Laptop","Flash Drive, Mouse",0.2,0.5,2.5
Flash Drive,"Desktop, Laptop, Mouse",0.2,0.4,1.3333333333333335
Mouse,"Desktop, Flash Drive, Laptop",0.2,0.4,2.0
Laptop,"Desktop, Flash Drive, Mouse",0.2,0.4,2.0
Desktop,"Flash Drive, Laptop, Mouse",0.2,0.4,2.0
"Desktop, Flash Drive, Mouse, Printer",Laptop,0.2,1.0,2.0
"Flash Drive, Laptop, Mouse, Printer",Desktop,0.2,1.0,2.0
"Desktop, Flash Drive, Laptop, Mouse",Printer,0.2,1.0,2.0
"Desktop, Laptop, Mouse, Printer",Flash Drive,0.2,1.0,2.0
"Desktop, Flash Drive, Laptop, Printer",Mouse,0.2,1.0,2.0
"Flash Drive, Mouse, Printer","Desktop, Laptop",0.2,1.0,2.5
"Desktop, Flash Drive, Mouse","Laptop, Printer",0.2,1.0,3.3333333333333335
"Flash Drive, Laptop, Mouse","Desktop, Printer",0.2,1.0,2.5
"Desktop, Mouse, Printer","Flash Drive, Laptop",0.2,1.0,5.0
"Laptop, Mouse, Printer","Desktop, Flash Drive",0.2,1.0,3.3333333333333335
"Desktop, Laptop, Mouse","Flash Drive, Printer",0.2,0.6666666666666667,1.6666666666666667
"Desktop, Flash Drive, Printer","Laptop, Mouse",0.2,0.6666666666666667,1.6666666666666667
"Flash Drive, Laptop, Printer","Desktop, Mouse",0.2,1.0,3.3333333333333335
"Desktop, Flash Drive, Laptop","Mouse, Printer",0.2,1.0,5.0
"Desktop, Laptop, Printer","Flash Drive, Mouse",0.2,0.6666666666666667,3.3333333333333335
"Flash Drive, Mouse","Desktop, Laptop, Printer",0.2,1.0,3.3333333333333335
"Mouse, Printer","Desktop, Flash Drive, Laptop",0.2,1.0,5.0
"Desktop, Mouse","Flash Drive, Laptop, Printer",0.2,0.6666666666666667,3.3333333333333335
"Laptop, Mouse","Desktop, Flash Drive, Printer",0.2,0.5,1.6666666666666667
"Flash Drive, Printer","Desktop, Laptop, Mouse",0.2,0.5,1.6666666666666667
"Desktop, Flash Drive","Laptop, Mouse, Printer",0.2,0.6666666666666667,3.3333333333333335
"Flash Drive, Laptop","Desktop, Mouse, Printer",0.2,1.0,5.0
"Desktop, Printer","Flash Drive, Laptop, Mouse",0.2,0.5,2.5
"Laptop, Printer","Desktop, Flash Drive, Mouse",0.2,0.6666666666666667,3.3333333333333335
"Desktop, Laptop","Flash Drive, Mouse, Printer",0.2,0.5,2.5
Mouse,"Desktop, Flash Drive, Laptop, Printer",0.2,0.4,2.0
Flash Drive,"Desktop, Laptop, Mouse, Printer",0.2,0.4,2.0
Printer,"Desktop, Flash Drive, Laptop, Mouse",0.2,0.4,2.0
Desktop,"Flash Drive, Laptop, Mouse, Printer",0.2,0.4,2.0
Laptop,"Desktop, Flash Drive, Mouse, Printer",0.2,0.4,2.0
"Flash Drive, Microsoft Office",Desktop,0.2,0.5,1.0
"Desktop, Flash Drive",Microsoft Office,0.2,0.6666666666666667,1.3333333333333335
"Desktop, Microsoft Office",Flash Drive,0.2,1.0,2.0
Flash Drive,"Desktop, Microsoft Office",0.2,0.4,2.0
Microsoft Office,"Desktop, Flash Drive",0.2,0.4,1.3333333333333335
Desktop,"Flash Drive, Microsoft Office",0.2,0.4,1.0
"Microsoft Office, Printer",Desktop,0.2,0.6666666666666667,1.3333333333333335
"Desktop, Microsoft Office",Printer,0.2,1.0,2.0
"Desktop, Printer",Microsoft Office,0.2,0.5,1.0
Microsoft Office,"Desktop, Printer",0.2,0.4,1.0
Printer,"Desktop, Microsoft Office",0.2,0.4,2.0
Desktop,"Microsoft Office, Printer",0.2,0.4,1.3333333333333335
"Microsoft Office, Mouse",Desktop,0.1,0.5,1.0
"Desktop, Microsoft Office",Mouse,0.1,0.5,1.0
"Laptop, Microsoft Office",Desktop,0.1,0.5,1.0
"Desktop, Microsoft Office",Laptop,0.1,0.5,1.0
"Flash Drive, Microsoft Office, Printer",Desktop,0.2,0.6666666666666667,1.3333333333333335
"Desktop, Flash Drive, Microsoft Office",Printer,0.2,1.0,2.0
"Desktop, Flash Drive, Printer",Microsoft Office,0.2,0.6666666666666667,1.3333333333333335
"Desktop, Microsoft Office, Printer",Flash Drive,0.2,1.0,2.0
"Flash Drive, Microsoft Office","Desktop, Printer",0.2,0.5,1.25
"Flash Drive, Printer","Desktop, Microsoft Office",0.2,0.5,2.5
"Desktop, Flash Drive","Microsoft Office, Printer",0.2,0.6666666666666667,2.2222222222222228
"Microsoft Office, Printer","Desktop, Flash Drive",0.2,0.6666666666666667,2.2222222222222228
"Desktop, Microsoft Office","Flash Drive, Printer",0.2,1.0,2.5
"Desktop, Printer","Flash Drive, Microsoft Office",0.2,0.5,1.25
Flash Drive,"Desktop, Microsoft Office, Printer",0.2,0.4,2.0
Microsoft Office,"Desktop, Flash Drive, Printer",0.2,0.4,1.3333333333333335
Printer,"Desktop, Flash Drive, Microsoft Office",0.2,0.4,2.0
Desktop,"Flash Drive, Microsoft Office, Printer",0.2,0.4,1.3333333333333335
"Flash Drive, Microsoft Office, Mouse",Desktop,0.1,1.0,2.0
"Desktop, Flash Drive, Mouse",Microsoft Office,0.1,0.5,1.0
"Desktop, Flash Drive, Microsoft Office",Mouse,0.1,0.5,1.0
"Desktop, Microsoft Office, Mouse",Flash Drive,0.1,1.0,2.0
"Flash Drive, Mouse","Desktop, Microsoft Office",0.1,0.5,2.5
"Microsoft Office, Mouse","Desktop, Flash Drive",0.1,0.5,1.6666666666666667
"Desktop, Microsoft Office","Flash Drive, Mouse",0.1,0.5,2.5
"Flash Drive, Laptop, Microsoft Office",Desktop,0.1,1.0,2.0
"Desktop, Flash Drive, Microsoft Office",Laptop,0.1,0.5,1.0
"Desktop, Flash Drive, Laptop",Microsoft Office,0.1,0.5,1.0
"Desktop, Laptop, Microsoft Office",Flash Drive,0.1,1.0,2.0
"Flash Drive, Laptop","Desktop, Microsoft Office",0.1,0.5,2.5
"Laptop, Microsoft Office","Desktop, Flash Drive",0.1,0.5,1.6666666666666667
"Desktop, Microsoft Office","Flash Drive, Laptop",0.1,0.5,2.5
"Microsoft Office, Mouse, Printer",Desktop,0.1,1.0,2.0
"Desktop, Microsoft Office, Mouse",Printer,0.1,1.0,2.0
"Desktop, Mouse, Printer",Microsoft Office,0.1,0.5,1.0
"Desktop, Microsoft Office, Printer",Mouse,0.1,0.5,1.0
"Microsoft Office, Mouse","Desktop, Printer",0.1,0.5,1.25
"Mouse, Printer","Desktop, Microsoft Office",0.1,0.5,2.5
"Desktop, Microsoft Office","Mouse, Printer",0.1,0.5,2.5
"Laptop, Microsoft Office, Printer",Desktop,0.1,1.0,2.0
"Desktop, Laptop, Microsoft Office",Printer,0.1,1.0,2.0
"Desktop, Microsoft Office, Printer",Laptop,0.1,0.5,1.0
"Laptop, Microsoft Office","Desktop, Printer",0.1,0.5,1.25
"Desktop, Microsoft Office","Laptop, Printer",0.1,0.5,1.6666666666666667
"Laptop, Microsoft Office, Mouse",Desktop,0.1,0.5,1.0
"Desktop, Microsoft Office, Mouse",Laptop,0.1,1.0,2.0
"Desktop, Laptop, Microsoft Office",Mouse,0.1,1.0,2.0
"Microsoft Office, Mouse","Desktop, Laptop",0.1,0.5,1.25
"Laptop, Microsoft Office","Desktop, Mouse",0.1,0.5,1.6666666666666667
"Desktop, Microsoft Office","Laptop, Mouse",0.1,0.5,1.25
"Flash Drive, Microsoft Office, Mouse, Printer",Desktop,0.1,1.0,2.0
"Desktop, Flash Drive, Mouse, Printer",Microsoft Office,0.1,0.5,1.0
"Desktop, Flash Drive, Microsoft Office, Mouse",Printer,0.1,1.0,2.0
"Desktop, Microsoft Office, Mouse, Printer",Flash Drive,0.1,1.0,2.0
"Desktop, Flash Drive, Microsoft Office, Printer",Mouse,0.1,0.5,1.0
"Flash Drive, Mouse, Printer","Desktop, Microsoft Office",0.1,0.5,2.5
"Flash Drive, Microsoft Office, Mouse","Desktop, Printer",0.1,1.0,2.5
"Desktop, Flash Drive, Mouse","Microsoft Office, Printer",0.1,0.5,1.6666666666666667
"Microsoft Office, Mouse, Printer","Desktop, Flash Drive",0.1,1.0,3.3333333333333335
"Desktop, Mouse, Printer","Flash Drive, Microsoft Office",0.1,0.5,1.25
"Desktop, Microsoft Office, Mouse","Flash Drive, Printer",0.1,1.0,2.5
"Desktop, Flash Drive, Microsoft Office","Mouse, Printer",0.1,0.5,2.5
"Desktop, Microsoft Office, Printer","Flash Drive, Mouse",0.1,0.5,2.5
"Flash Drive, Mouse","Desktop, Microsoft Office, Printer",0.1,0.5,2.5
"Mouse, Printer","Desktop, Flash Drive, Microsoft Office",0.1,0.5,2.5
"Microsoft Office, Mouse","Desktop, Flash Drive, Printer",0.1,0.5,1.6666666666666667
"Desktop, Microsoft Office","Flash Drive, Mouse, Printer",0.1,0.5,2.5
"Desktop, Flash Drive, Microsoft Office, Printer",Laptop,0.1,0.5,1.0
"Flash Drive, Laptop, Microsoft Office, Printer",Desktop,0.1,1.0,2.0
"Desktop, Flash Drive, Laptop, Printer",Microsoft Office,0.1,0.5,1.0
"Desktop, Flash Drive, Laptop, Microsoft Office",Printer,0.1,1.0,2.0
"Desktop, Laptop, Microsoft Office, Printer",Flash Drive,0.1,1.0,2.0
"Flash Drive, Laptop, Printer","Desktop, Microsoft Office",0.1,0.5,2.5
"Desktop, Flash Drive, Microsoft Office","Laptop, Printer",0.1,0.5,1.6666666666666667
"Flash Drive, Laptop, Microsoft Office","Desktop, Printer",0.1,1.0,2.5
"Desktop, Flash Drive, Laptop","Microsoft Office, Printer",0.1,0.5,1.6666666666666667
"Desktop, Microsoft Office, Printer","Flash Drive, Laptop",0.1,0.5,2.5
"Laptop, Microsoft Office, Printer","Desktop, Flash Drive",0.1,1.0,3.3333333333333335
"Desktop, Laptop, Microsoft Office","Flash Drive, Printer",0.1,1.0,2.5
"Flash Drive, Laptop","Desktop, Microsoft Office, Printer",0.1,0.5,2.5
"Desktop, Microsoft Office","Flash Drive, Laptop, Printer",0.1,0.5,2.5
"Laptop, Microsoft Office","Desktop, Flash Drive, Printer",0.1,0.5,1.6666666666666667
"Desktop, Flash Drive, Microsoft Office, Mouse",Laptop,0.1,1.0,2.0
"Flash Drive, Laptop, Microsoft Office, Mouse",Desktop,0.1,1.0,2.0
"Desktop, Flash Drive, Laptop, Mouse",Microsoft Office,0.1,0.5,1.0
"Desktop, Laptop, Microsoft Office, Mouse",Flash Drive,0.1,1.0,2.0
"Desktop, Flash Drive, Laptop, Microsoft Office",Mouse,0.1,1.0,2.0
"Flash Drive, Microsoft Office, Mouse","Desktop, Laptop",0.1,1.0,2.5
"Desktop, Flash Drive, Mouse","Laptop, Microsoft Office",0.1,0.5,2.5
"Flash Drive, Laptop, Mouse","Desktop, Microsoft Office",0.1,0.5,2.5
"Desktop, Microsoft Office, Mouse","Flash Drive, Laptop",0.1,1.0,5.0
"Laptop, Microsoft Office, Mouse","Desktop, Flash Drive",0.1,0.5,1.6666666666666667
"Desktop, Flash Drive, Microsoft Office","Laptop, Mouse",0.1,0.5,1.25
"Flash Drive, Laptop, Microsoft Office","Desktop, Mouse",0.1,1.0,3.3333333333333335
"Desktop, Flash Drive, Laptop","Microsoft Office, Mouse",0.1,0.5,2.5
"Desktop, Laptop, Microsoft Office","Flash Drive, Mouse",0.1,1.0,5.0
"Flash Drive, Mouse","Desktop, Laptop, Microsoft Office",0.1,0.5,5.0
"Microsoft Office, Mouse","Desktop, Flash Drive, Laptop",0.1,0.5,2.5
"Flash Drive, Laptop","Desktop, Microsoft Office, Mouse",0.1,0.5,5.0
"Desktop, Microsoft Office","Flash Drive, Laptop, Mouse",0.1,0.5,2.5
"Laptop, Microsoft Office","Desktop, Flash Drive, Mouse",0.1,0.5,2.5
"Desktop, Microsoft Office, Mouse, Printer",Laptop,0.1,1.0,2.0
"Laptop, Microsoft Office, Mouse, Printer",Desktop,0.1,1.0,2.0
"Desktop, Laptop, Mouse, Printer",Microsoft Office,0.1,0.5,1.0
"Desktop, Laptop, Microsoft Office, Mouse",Printer,0.1,1.0,2.0
"Desktop, Laptop, Microsoft Office, Printer",Mouse,0.1,1.0,2.0
"Microsoft Office, Mouse, Printer","Desktop, Laptop",0.1,1.0,2.5
"Desktop, Mouse, Printer","Laptop, Microsoft Office",0.1,0.5,2.5
"Laptop, Mouse, Printer","Desktop, Microsoft Office",0.1,0.5,2.5
"Desktop, Microsoft Office, Mouse","Laptop, Printer",0.1,1.0,3.3333333333333335
"Laptop, Microsoft Office, Mouse","Desktop, Printer",0.1,0.5,1.25
"Desktop, Microsoft Office, Printer","Laptop, Mouse",0.1,0.5,1.25
"Laptop, Microsoft Office, Printer","Desktop, Mouse",0.1,1.0,3.3333333333333335
"Desktop, Laptop, Microsoft Office","Mouse, Printer",0.1,1.0,5.0
"Mouse, Printer","Desktop, Laptop, Microsoft Office",0.1,0.5,5.0
"Microsoft Office, Mouse","Desktop, Laptop, Printer",0.1,0.5,1.6666666666666667
