Itemset,support
"Cap, Running Shoes, Sweatshirt, Training Shirt",0.1
"Cap, Gloves, Running Shoes, Sweatshirt",0.1
"Cap, Gloves, Shorts, Sweatshirt, Training Shirt",0.1
"Cap, Running Shoes, Shorts, Sweatshirt, Training Shirt",0.1
"Cap, Gloves, Running Shoes, Shorts, Sweatshirt",0.1
"Cap, Gloves, Running Shoes, Sweatshirt, Training Shirt",0.1
"Cap, Gloves, Running Shoes, Shorts, Sweatshirt, Training Shirt",0.1
"Cap, Gloves, Track Pants",0.2
"Cap, Running Shoes, Track Pants",0.2
"Cap, Sweatshirt, Track Pants",0.1
"Cap, Shorts, Track Pants",0.1
"Cap, Track Pants, Training Shirt",0.1
"Cap, Socks, Track Pants",0.1
"Cap, Hoodie, Track Pants",0.1
"Cap, Soccer Shoes, Track Pants",0.1
"Cap, Gloves, Running Shoes, Track Pants",0.2
"Cap, Running Shoes, Sweatshirt, Track Pants",0.1
"Cap, Gloves, Sweatshirt, Track Pants",0.1
"Cap, Gloves, Running Shoes, Sweatshirt, Track Pants",0.1
"Cap, Shorts, Sweatshirt, Track Pants",0.1
"Cap, Running Shoes, Shorts, Track Pants",0.1
"Cap, Gloves, Shorts, Track Pants",0.1
"Cap, Running Shoes, Shorts, Sweatshirt, Track Pants",0.1
"Cap, Gloves, Shorts, Sweatshirt, Track Pants",0.1
"Cap, Gloves, Running Shoes, Shorts, Track Pants",0.1
"Cap, Gloves, Running Shoes, Shorts, Sweatshirt, Track Pants",0.1
"Cap, Shorts, Track Pants, Training Shirt",0.1
"Cap, Sweatshirt, Track Pants, Training Shirt",0.1
"Cap, Running Shoes, Track Pants, Training Shirt",0.1
"Cap, Gloves, Track Pants, Training Shirt",0.1
"Cap, Shorts, Sweatshirt, Track Pants, Training Shirt",0.1
"Cap, Running Shoes, Shorts, Track Pants, Training Shirt",0.1
"Cap, Gloves, Shorts, Track Pants, Training Shirt",0.1
"Cap, Running Shoes, Sweatshirt, Track Pants, Training Shirt",0.1
"Cap, Gloves, Sweatshirt, Track Pants, Training Shirt",0.1
"Cap, Gloves, Running Shoes, Track Pants, Training Shirt",0.1
"Cap, Running Shoes, Shorts, Sweatshirt, Track Pants, Training Shirt",0.1
"Cap, Gloves, Shorts, Sweatshirt, Track Pants, Training Shirt",0.1
"Cap, Gloves, Running Shoes, Shorts, Track Pants, Training Shirt",0.1
"Cap, Gloves, Running Shoes, Sweatshirt, Track Pants, Training Shirt",0.1
"Cap, Gloves, Running Shoes, Shorts, Sweatshirt, Track Pants, Training Shirt",0.1
"Cap, Running Shoes, Socks, Track Pants",0.1
"Cap, Gloves, Socks, Track Pants",0.1
"Cap, Gloves, Running Shoes, Socks, Track Pants",0.1
"Cap, Hoodie, Socks, Track Pants",0.1
"Cap, Hoodie, Running Shoes, Track Pants",0.1
"Cap, Gloves, Hoodie, Track Pants",0.1
"Cap, Hoodie, Running Shoes, Socks, Track Pants",0.1
"Cap, Gloves, Hoodie, Socks, Track Pants",0.1
"Cap, Gloves, Hoodie, Running Shoes, Track Pants",0.1
"Cap, Gloves, Hoodie, Running Shoes, Socks, Track Pants",0.1
"Cap, Hoodie, Soccer Shoes, Track Pants",0.1
"Cap, Soccer Shoes, Socks, Track Pants",0.1
"Cap, Running Shoes, Soccer Shoes, Track Pants",0.1
"Cap, Gloves, Soccer Shoes, Track Pants",0.1
"Cap, Hoodie, Soccer Shoes, Socks, Track Pants",0.1
"Cap, Hoodie, Running Shoes, Soccer Shoes, Track Pants",0.1
"Cap, Gloves, Hoodie, Soccer Shoes, Track Pants",0.1
"Cap, Running Shoes, Soccer Shoes, Socks, Track Pants",0.1
"Cap, Gloves, Soccer Shoes, Socks, Track Pants",0.1
"Cap, Gloves, Running Shoes, Soccer Shoes, Track Pants",0.1
"Cap, Hoodie, Running Shoes, Soccer Shoes, Socks, Track Pants",0.1
"Cap, Gloves, Hoodie, Soccer Shoes, Socks, Track Pants",0.1
"Cap, Gloves, Hoodie, Running Shoes, Soccer Shoes, Track Pants",0.1
"Cap, Gloves, Running Shoes, Soccer Shoes, Socks, Track Pants",0.1
"Cap, Gloves, Hoodie, Running Shoes, Soccer Shoes, Socks, Track Pants",0.1
"Cap, Running Shoes, Soccer Shoes",0.3
"Cap, Soccer Shoes, Training Shirt",0.2
"Cap, Running Shoes, Soccer Shoes, Training Shirt",0.2
"Cap, Hoodie, Soccer Shoes",0.2
"Cap, Hoodie, Running Shoes",0.2
"Cap, Hoodie, Training Shirt",0.1
"Cap, Hoodie, Running Shoes, Soccer Shoes",0.2
"Cap, Hoodie, Soccer Shoes, Training Shirt",0.1
"Cap, Hoodie, Running Shoes, Training Shirt",0.1
"Cap, Hoodie, Running Shoes, Soccer Shoes, Training Shirt",0.1
"Cap, Hoodie, Socks",0.2
"Cap, Soccer Shoes, Socks",0.2
"Cap, Running Shoes, Socks",0.2
"Cap, Socks, Training Shirt",0.1
"Cap, Hoodie, Soccer Shoes, Socks",0.2
"Cap, Hoodie, Running Shoes, Socks",0.2
"Cap, Hoodie, Socks, Training Shirt",0.1
"Cap, Running Shoes, Soccer Shoes, Socks",0.2
"Cap, Soccer Shoes, Socks, Training Shirt",0.1
"Cap, Running Shoes, Socks, Training Shirt",0.1
"Cap, Hoodie, Running Shoes, Soccer Shoes, Socks",0.2
"Cap, Hoodie, Soccer Shoes, Socks, Training Shirt",0.1
"Cap, Hoodie, Running Shoes, Socks, Training Shirt",0.1
"Cap, Running Shoes, Soccer Shoes, Socks, Training Shirt",0.1
"Cap, Hoodie, Running Shoes, Soccer Shoes, Socks, Training Shirt",0.1
